OB,KODE_OBJEK,NAMA,HARGA_SATUAN
OB,5-01-CPC01-132-000-00,Barcode Ball B-107  colour beige  uk. 67 x 240 4903620940618,1.0
OB,5-01-CPC01-073-000-00,Barcode Ball B-107 colour Beige uk  67 x 330 Barc 4903620940625 ,1.0
OB,5-01-CPC01-001-000-00,"Barcode Ball B-107 colour Beige, uk. 67 x 180, 4903620940601",1.0
OB,5-01-CPC01-133-000-00,"Barcode Ball B-107,Colour  Beige, Size 67 x 440, 4903620943329",1.0
OB,5-01-CPC01-131-000-00,Barcode Ball B-110 colour Red  uk. 80 x 180 4903620940694,1.0
OB,5-01-CPC01-157-000-00,Barcode Box B-107 Beige Size : 80 x 240 Barc 4903620940649,1.0
OB,5-00-CPC01-002-000-00,Barcode Box B-107 Beige Size 67 x 180 Barc 4903620940601,1.0
OB,5-00-CPC01-001-000-00,Barcode Box B-107 Beige Size 67 x 240 Barc 4903620940618,1.0
OB,5-01-CPC01-005-000-00,Barcode Box B-107 Colour Beige uk 67 x 330 Barc 4903620940625 ,1.0
OB,5-01-CPC01-136-000-00,Barcode Box B-110 colour Red uk.80 x 330 4903620940717,1.0
OB,5-01-CPC01-134-000-00,"Barcode Box B-110 Colour Red, uk. 80 x 180 4903620940694",1.0
OB,5-01-CPC01-135-000-00,"Barcode Box B-110 colour Red, uk. 80 x 240, 4903620940700",1.0
OB,5-01-CPC01-137-000-00,"Barcode Box B-110 Colour Red, uk. 80 x 440, 4903620944197",1.0
OB,5-01-UNI02-001-000-01,BARCODE LABEL/ LABEL BLANK UK 10X15 CM,191.9626
OB,5-01-SWP01-028-000-00,Barcode Merbatu Solid Decking 19 x 140 x 1800-5700 (899-4851-02002-2),1.0
OB,5-01-SWP01-026-000-00,Barcode Merbatu Solid Decking 19 x 140 x 1800-5700 (899-4851-03002-1),1.0
OB,5-01-SWP01-029-000-00,Barcode Merbatu Solid Decking 19 x 90 x 1800-5700 (899-4851-02001-5),1.0
OB,5-01-SWP01-027-000-00,Barcode Merbatu Solid Decking 19 x 90 x 1800-5700 (899-4851-03001-4),1.0
OB,5-01-UNI02-003-000-01,"Barcode polos 4""W X 6"" L GHJ Dove",1.0
OB,5-01-SWP01-030-000-00,Barcode sticker EAN13 Merbau KD S4S E4E 42x42x2700 (uk. 47 x 16mm),44.2718
OB,5-01-ANU01-003-000-00,"BLOK KUNING,TEXT HITAM-VARNISH uk. 9 x 15 cm",1.0
OB,5-01-KSI02-023-000-00,BOTTOM LABEL CHEEK COLOR MARTIAN DUST ,1.0
OB,5-01-KSI02-024-000-01,BOTTOM LABEL CHEEK COLOR MELLOW PINK BLUSH,1.0
OB,5-01-WAX01-248-000-01,Bottom Label d4cm New X3_Wagner,28.5677
OB,5-01-WAX01-247-000-01,Bottom Label d5cm New X3_Wagner,41.5763
OB,5-01-KSI02-035-000-00,Bottom Label Eyeshadow Venice 120-05-014 New,1.0
OB,5-01-KSI02-5-01-00066,Bottom Label Eyeshadow Venice 120-05-014 New,28.1269
OB,5-01-WAX01-024-000-01,BOTTOM LABEL FOR CHAKRA CANDLE D5CM,1.0
OB,5-01-KSI02-015-000-01,BOTTOM LABEL NAIL COLOR AQUAMARINE,1.0
OB,5-01-KSI02-5-01-00001,"BOTTOM LABEL NAIL COLOR AQUAMARINE, ARTPAPER",1.0
OB,5-01-KSI02-034-000-00,"BOTTOM LABEL NAIL COLOR AQUAMARINE, ARTPAPER",1.0
OB,5-01-KSI02-011-000-01,BOTTOM LABEL NAIL COLOR DEEP SAPPHIRE,1.0
OB,5-01-KSI02-016-000-01,BOTTOM LABEL NAIL COLOR EMERALD GREEN,1.0
OB,5-01-KSI02-022-000-01,BOTTOM LABEL NAIL COLOR ETERNITY BLACK,1.0
OB,5-01-KSI02-017-000-02,BOTTOM LABEL NAIL COLOR GOLDEN,1.0
OB,5-01-KSI02-013-000-01,BOTTOM LABEL NAIL COLOR LAVENDER,1.0
OB,5-01-KSI02-019-000-01,BOTTOM LABEL NAIL COLOR MONZA RED,118.3661
OB,5-01-KSI02-021-000-01,BOTTOM LABEL NAIL COLOR OCEAN GREEN,1.0
OB,5-01-KSI02-014-000-01,BOTTOM LABEL NAIL COLOR PINK CARNATION,1.0
OB,5-01-KSI02-018-000-01,BOTTOM LABEL NAIL COLOR RUSTIC RED,1.0
OB,5-01-KSI02-012-000-01,BOTTOM LABEL NAIL COLOR SNOW WHITE,1.0
OB,5-01-KSI02-020-000-02,BOTTOM LABEL NAILL COLOR APRICOT,1.0
OB,5-01-KSI02-009-000-00,"BOTTOM LABEL PPC BEIGE, ROLL",37.126
OB,5-01-KSI02-008-000-01,"BOTTOM LABEL PPC BULRY WOOD, ROLL",25.7421
OB,5-01-KSI02-007-000-02,"BOTTOM LABEL PPC CASHMERE, ROLL",27.007
OB,5-01-KSI02-001-000-00,BOTTOM LABEL PPC DEEP PEACH,1.0
OB,5-01-KSI02-010-000-00,"BOTTOM LABEL PPC DEEP PEACH, ROLL",24.7072
OB,5-01-KSI02-003-000-00,BOTTOM LABEL PPC IVORY,1.0
OB,5-01-KSI02-004-000-02,"BOTTOM LABEL PPC IVORY, ROLL",28.5881
OB,5-01-KSI02-006-000-02,"BOTTOM LABEL PPC MISTYROSE, ROLL",33.3313
OB,5-01-KSI02-002-000-00,"BOTTOM LABEL PPC NATURAL, LEMBARAN",1.0
OB,5-01-KSI02-005-000-03,"BOTTOM LABEL PPC NATURAL, ROLL",18.4239
OB,5-01-KSI02-025-000-00,"Bottom Label PPC Quincy, Roll",128.4238
OB,5-01-WAX01-250-000-00,Bottom Label Vtv d4cm French Design_Wagner,1.0
OB,5-01-SZG01-001-000-00,"Cellotape Masking Kraft Hitam Uk. 48mm x 200M, Material: Paper Sticker Art Paper B",1.0
OB,5-01-WAX01-270-000-00,Chakra 1 (631) Cassia - Clove - Nutmeg,1.0
OB,5-01-WAX01-271-000-00,Chakra 2 ( 632) Cedar - Silver fir - Rosemary,1.0
OB,5-01-WAX01-272-000-00,Chakra 3 (633) Bergamot - Lemon - Grapefruit,1.0
OB,5-01-WAX01-273-000-00,Chakra 4 (634) Lavandin - Orange - Mandarin,1.0
OB,5-01-WAX01-274-000-00,Chakra 5 (635) Moroccan Rose- Chamomile,1.0
OB,5-01-WAX01-275-000-00,Chakra 6 (636) Lavender - Mayweed- Silver Fir,1.0
OB,5-01-WAX01-276-000-00,Chakra 7 ( 637) Patchouli - Labdanum - Frankincense,1.0
OB,5-01-WAX01-252-000-00,Chakra Votive Tray Happiness - EcoPalm,1.0
OB,5-01-WAX01-200-000-00,Chakra Votive Tray Healing -EcoPalm,651.9832
OB,5-01-WAX01-320-000-00,Chakra Votive Tray Label Abundance Logo Fair Trade,644.4346
OB,5-01-WAX01-324-000-00,Chakra Votive Tray Label Happines Logo Fair Trade,644.4346
OB,5-01-WAX01-326-000-00,Chakra Votive Tray Label Healing Logo Fair Trade,644.4346
OB,5-01-WAX01-325-000-00,Chakra Votive Tray Label Love Logo Fair Trade,644.4346
OB,5-01-WAX01-323-000-00,Chakra Votive Tray Label Money Logo Fair Trade,644.4346
OB,5-01-WAX01-322-000-00,Chakra Votive Tray Label Positive Energy Logo Fair Trade,644.4346
OB,5-01-WAX01-321-000-00,Chakra Votive Tray Label Protection Logo Fair Trade,644.4346
OB,5-01-WAX01-345-000-00,Chakra Votive Tray Love - EcoPalm,1.0
OB,5-01-WAX01-251-000-00,Chakra Votive Tray Money - EcoPalm,1.0
OB,5-01-WAX01-198-000-00,Chakra Votive Tray Positive Energy - EcoPalm,1.0
OB,5-01-KDS01-004-000-01,"CHERRY MANIS, BARC. 8 994093 103071 (BIRU  & HITAM)",20.6386
OB,5-01-CPC01-076-000-00,"CHILDREN RUG - PDI 23, UK 10 X 19",1.0
OB,5-01-OTS02-00545,coba lock product so,1.0
OB,5-01-OTS02-00546,coba lock product so 2,1.0
OB,5-01--00547,coba status product 3,1.0
OB,5-01-OTS02-00548,Coba WIP,1.0
OB,5-01-KDS01-002-000-01,"COKLAT MANIS, BARC. 8 994093 103071 (BIRU & HITAM)",1.0
OB,5-01-KDS01-00172,"COKLAT MANIS, BARC. 8 994093 103071 (BIRU & HITAM)",26.3749
OB,5-01-OPD01-005-000-00,"Continuous Label "" HVS Biru"" Ukuran : Panjang 7 cm; Lebar 3.5 cm, 1 Line, dengan TEXT ""SILOAM SAMARINDA""",1.0
OB,5-01-OPD01-002-000-01,"Continuous Label ""HVS Biru"" Uk. 7 x 3.5 cm 1 Line dengan TEXT",1.0
OB,5-01-OPD01-004-000-00,"Continuous Label ""HVS Putih"" Ukuran : Panjang 7 cm; Lebar  3.5 cm, 1 Line, dengan TEXT "" SILOAM SAMARINDA""",1.0
OB,5-01-OPD01-003-000-01,"Continuous Label ""HVS Putih"", Uk. 7 x 3.5 cm 1 Line dengan TEXT",31.1086
OB,5-01-DMI01-019-000-00,"COTTON SPANDEX, KOTAK, 3W (#48) UK. 2.2 X 2.2 CM",1.0
